party,un_share,un_share_fraction,inverted_share,total_allocation,state_envelope,iplc_envelope,World Bank Income Group,Party Status
Cambodia,0.008,0.00008,0.002817079473539012,2.817079473539012,1.408539736769506,1.408539736769506,Lower middle income,Party
Equatorial Guinea,0.008,0.00008,0.002817079473539012,2.817079473539012,1.408539736769506,1.408539736769506,Upper middle income,Party
North Macedonia,0.008,0.00008,0.002817079473539012,2.817079473539012,1.408539736769506,1.408539736769506,Upper middle income,Party
Sudan,0.008,0.00008,0.002817079473539012,2.817079473539012,1.408539736769506,1.408539736769506,Low income,Party
Armenia,0.007,0.00007000000000000001,0.0032195193983302994,3.219519398330299,1.6097596991651495,1.6097596991651495,Upper middle income,Party
Barbados,0.007,0.00007000000000000001,0.0032195193983302994,3.219519398330299,1.6097596991651495,1.6097596991651495,High income,Party
Jamaica,0.007,0.00007000000000000001,0.0032195193983302994,3.219519398330299,1.6097596991651495,1.6097596991651495,Upper middle income,Party
Namibia,0.007,0.00007000000000000001,0.0032195193983302994,3.219519398330299,1.6097596991651495,1.6097596991651495,Lower middle income,Party
Senegal,0.007,0.00007000000000000001,0.0032195193983302994,3.219519398330299,1.6097596991651495,1.6097596991651495,Lower middle income,Party
Zimbabwe,0.007,0.00007000000000000001,0.0032195193983302994,3.219519398330299,1.6097596991651495,1.6097596991651495,Lower middle income,Party
Haiti,0.006,0.00006,0.0037561059647186834,3.7561059647186834,1.8780529823593417,1.8780529823593417,Lower middle income,Party
Lao People’s Democratic Republic,0.006,0.00006,0.0037561059647186834,3.7561059647186834,1.8780529823593417,1.8780529823593417,Lower middle income,Party
Republic of Moldova,0.006,0.00006,0.0037561059647186834,3.7561059647186834,1.8780529823593417,1.8780529823593417,Upper middle income,Party
Syrian Arab Republic,0.006,0.00006,0.0037561059647186834,3.7561059647186834,1.8780529823593417,1.8780529823593417,Low income,Party
Zambia,0.006,0.00006,0.0037561059647186834,3.7561059647186834,1.8780529823593417,1.8780529823593417,Lower middle income,Party
Afghanistan,0.005,0.00005,0.00450732715766242,4.507327157662419,2.2536635788312096,2.2536635788312096,Low income,Party
Benin,0.005,0.00005,0.00450732715766242,4.507327157662419,2.2536635788312096,2.2536635788312096,Lower middle income,Party
Burkina Faso,0.005,0.00005,0.00450732715766242,4.507327157662419,2.2536635788312096,2.2536635788312096,Low income,Party
Chad,0.005,0.00005,0.00450732715766242,4.507327157662419,2.2536635788312096,2.2536635788312096,Low income,Party
Congo,0.005,0.00005,0.00450732715766242,4.507327157662419,2.2536635788312096,2.2536635788312096,Lower middle income,Party
Democratic People’s Republic of Korea,0.005,0.00005,0.00450732715766242,4.507327157662419,2.2536635788312096,2.2536635788312096,Low income,Party
Mali,0.005,0.00005,0.00450732715766242,4.507327157662419,2.2536635788312096,2.2536635788312096,Low income,Party
South Sudan,0.005,0.00005,0.00450732715766242,4.507327157662419,2.2536635788312096,2.2536635788312096,Low income,Party
Andorra,0.004,0.00004,0.005634158947078024,5.634158947078024,2.817079473539012,2.817079473539012,High income,Party
Guinea,0.004,0.00004,0.005634158947078024,5.634158947078024,2.817079473539012,2.817079473539012,Lower middle income,Party
Madagascar,0.004,0.00004,0.005634158947078024,5.634158947078024,2.817079473539012,2.817079473539012,Low income,Party
Maldives,0.004,0.00004,0.005634158947078024,5.634158947078024,2.817079473539012,2.817079473539012,Upper middle income,Party
Mongolia,0.004,0.00004,0.005634158947078024,5.634158947078024,2.817079473539012,2.817079473539012,Upper middle income,Party
Montenegro,0.004,0.00004,0.005634158947078024,5.634158947078024,2.817079473539012,2.817079473539012,Upper middle income,Party
Nicaragua,0.004,0.00004,0.005634158947078024,5.634158947078024,2.817079473539012,2.817079473539012,Lower middle income,Party
Niger,0.004,0.00004,0.005634158947078024,5.634158947078024,2.817079473539012,2.817079473539012,Low income,Party
Fiji,0.003,0.00003,0.007512211929437367,7.512211929437367,3.7561059647186834,3.7561059647186834,Upper middle income,Party
Kyrgyzstan,0.003,0.00003,0.007512211929437367,7.512211929437367,3.7561059647186834,3.7561059647186834,Lower middle income,Party
Malawi,0.003,0.00003,0.007512211929437367,7.512211929437367,3.7561059647186834,3.7561059647186834,Low income,Party
Mauritania,0.003,0.00003,0.007512211929437367,7.512211929437367,3.7561059647186834,3.7561059647186834,Lower middle income,Party
Rwanda,0.003,0.00003,0.007512211929437367,7.512211929437367,3.7561059647186834,3.7561059647186834,Low income,Party
Tajikistan,0.003,0.00003,0.007512211929437367,7.512211929437367,3.7561059647186834,3.7561059647186834,Lower middle income,Party
"Yemen, Rep.",0.003,0.00003,0.007512211929437367,7.512211929437367,3.7561059647186834,3.7561059647186834,Low income,Party
Antigua and Barbuda,0.002,0.00002,0.011268317894156048,11.268317894156048,5.634158947078024,5.634158947078024,High income,Party
Djibouti,0.002,0.00002,0.011268317894156048,11.268317894156048,5.634158947078024,5.634158947078024,Lower middle income,Party
Eswatini,0.002,0.00002,0.011268317894156048,11.268317894156048,5.634158947078024,5.634158947078024,Lower middle income,Party
Mozambique,0.002,0.00002,0.011268317894156048,11.268317894156048,5.634158947078024,5.634158947078024,Low income,Party
San Marino,0.002,0.00002,0.011268317894156048,11.268317894156048,5.634158947078024,5.634158947078024,High income,Party
Seychelles,0.002,0.00002,0.011268317894156048,11.268317894156048,5.634158947078024,5.634158947078024,High income,Party
Somalia,0.002,0.00002,0.011268317894156048,11.268317894156048,5.634158947078024,5.634158947078024,Low income,Party
St. Lucia,0.002,0.00002,0.011268317894156048,11.268317894156048,5.634158947078024,5.634158947078024,Upper middle income,Party
Suriname,0.002,0.00002,0.011268317894156048,11.268317894156048,5.634158947078024,5.634158947078024,Upper middle income,Party
Togo,0.002,0.00002,0.011268317894156048,11.268317894156048,5.634158947078024,5.634158947078024,Low income,Party
