party,band,is_ldc,is_sids,A_strict_50m,B_bounded_50m,C_even_50m,diff_AtoC_50m,A_strict_100m,B_bounded_100m,C_even_100m,diff_AtoC_100m,A_strict_200m,B_bounded_200m,C_even_200m,diff_AtoC_200m,A_strict_500m,B_bounded_500m,C_even_500m,diff_AtoC_500m,A_strict_1000m,B_bounded_1000m,C_even_1000m,diff_AtoC_1000m
Gabon,Band 3,,,0.301,0.298,0.296,-0.005,0.602,0.596,0.592,-0.01,1.204,1.192,1.183,-0.021,3.01,2.98,2.958,-0.052,6.02,5.961,5.916,-0.104
Ghana,Band 3,,,0.301,0.297,0.295,-0.006,0.601,0.595,0.59,-0.012,1.203,1.189,1.179,-0.023,3.007,2.974,2.949,-0.059,6.014,5.947,5.897,-0.117
Guatemala,Band 3,,,0.3,0.295,0.291,-0.009,0.599,0.589,0.582,-0.017,1.198,1.179,1.164,-0.034,2.995,2.947,2.91,-0.085,5.991,5.893,5.82,-0.171
Guyana,Band 3,,Yes,0.339,0.335,0.333,-0.006,0.678,0.671,0.666,-0.012,1.356,1.342,1.331,-0.025,3.39,3.355,3.328,-0.062,6.78,6.709,6.656,-0.124
Jordan,Band 3,,,0.299,0.294,0.29,-0.009,0.599,0.589,0.581,-0.018,1.197,1.177,1.162,-0.036,2.994,2.943,2.904,-0.09,5.987,5.885,5.808,-0.179
Kenya,Band 3,,,0.304,0.305,0.306,0.002,0.608,0.611,0.612,0.004,1.216,1.221,1.225,0.008,3.041,3.053,3.061,0.021,6.082,6.105,6.123,0.041
Lebanon,Band 3,,,0.299,0.292,0.288,-0.011,0.597,0.585,0.576,-0.021,1.194,1.17,1.152,-0.043,2.986,2.925,2.879,-0.107,5.972,5.85,5.758,-0.214
Libya,Band 3,,,0.315,0.332,0.344,0.028,0.631,0.663,0.688,0.057,1.262,1.327,1.375,0.114,3.154,3.316,3.438,0.284,6.308,6.633,6.876,0.569
Morocco,Band 3,,,0.303,0.302,0.302,-0.001,0.606,0.605,0.604,-0.002,1.211,1.209,1.207,-0.004,3.028,3.023,3.018,-0.01,6.056,6.045,6.037,-0.019
Paraguay,Band 3,,,0.302,0.301,0.3,-0.002,0.605,0.602,0.6,-0.004,1.209,1.205,1.201,-0.008,3.023,3.011,3.002,-0.021,6.046,6.023,6.005,-0.042
Serbia,Band 3,,,0.299,0.294,0.29,-0.009,0.599,0.588,0.581,-0.018,1.197,1.177,1.161,-0.036,2.993,2.942,2.903,-0.091,5.987,5.883,5.805,-0.181
Sri Lanka,Band 3,,,0.299,0.294,0.29,-0.01,0.598,0.587,0.579,-0.019,1.196,1.175,1.158,-0.038,2.991,2.937,2.896,-0.096,5.982,5.873,5.791,-0.191
Trinidad and Tobago,Band 3,,Yes,0.337,0.331,0.326,-0.011,0.674,0.662,0.652,-0.022,1.348,1.323,1.305,-0.043,3.37,3.308,3.262,-0.108,6.741,6.617,6.524,-0.217
Tunisia,Band 3,,,0.3,0.296,0.293,-0.007,0.6,0.591,0.585,-0.015,1.2,1.183,1.17,-0.03,3.0,2.957,2.925,-0.075,6.0,5.915,5.851,-0.149
Turkmenistan,Band 3,,,0.303,0.303,0.303,-0.0,0.606,0.606,0.605,-0.001,1.212,1.211,1.21,-0.002,3.03,3.028,3.026,-0.004,6.061,6.056,6.052,-0.009
Ukraine,Band 3,,,0.304,0.305,0.306,0.002,0.608,0.61,0.612,0.004,1.216,1.221,1.224,0.008,3.041,3.052,3.061,0.02,6.082,6.105,6.122,0.04
Uzbekistan,Band 3,,,0.303,0.302,0.302,-0.001,0.605,0.604,0.603,-0.002,1.211,1.209,1.207,-0.004,3.027,3.021,3.017,-0.011,6.055,6.043,6.033,-0.022
Venezuela (Bolivarian Republic of),Band 3,,,0.307,0.312,0.316,0.009,0.614,0.624,0.632,0.018,1.228,1.248,1.263,0.035,3.07,3.12,3.158,0.088,6.14,6.24,6.315,0.176
Argentina,Band 4,,,0.284,0.314,0.336,0.052,0.568,0.627,0.672,0.104,1.136,1.255,1.343,0.207,2.841,3.136,3.358,0.518,5.681,6.273,6.717,1.036
Colombia,Band 4,,,0.268,0.277,0.284,0.015,0.537,0.554,0.568,0.031,1.074,1.109,1.135,0.061,2.685,2.772,2.838,0.154,5.369,5.545,5.677,0.307
Cuba,Band 4,,Yes,0.297,0.293,0.29,-0.007,0.595,0.586,0.58,-0.014,1.189,1.173,1.161,-0.029,2.973,2.932,2.901,-0.071,5.945,5.864,5.803,-0.143
Egypt,Band 4,,,0.267,0.275,0.28,0.013,0.535,0.549,0.56,0.026,1.069,1.099,1.121,0.051,2.674,2.747,2.802,0.128,5.347,5.494,5.604,0.256
Indonesia,Band 4,,,0.276,0.295,0.309,0.033,0.552,0.59,0.618,0.066,1.104,1.179,1.235,0.132,2.76,2.948,3.089,0.329,5.519,5.895,6.177,0.658
Iran (Islamic Republic of),Band 4,,,0.273,0.289,0.3,0.027,0.547,0.577,0.6,0.054,1.093,1.155,1.201,0.107,2.734,2.887,3.002,0.269,5.467,5.774,6.004,0.537
Iraq,Band 4,,,0.262,0.262,0.262,0.0,0.524,0.524,0.524,0.001,1.048,1.049,1.049,0.001,2.62,2.621,2.622,0.003,5.24,5.243,5.245,0.005
Kazakhstan,Band 4,,,0.284,0.313,0.335,0.051,0.567,0.626,0.669,0.102,1.135,1.251,1.339,0.204,2.837,3.128,3.347,0.51,5.674,6.256,6.693,1.019
Malaysia,Band 4,,,0.261,0.26,0.259,-0.002,0.522,0.52,0.518,-0.004,1.044,1.039,1.035,-0.008,2.61,2.598,2.589,-0.021,5.219,5.195,5.177,-0.042
Nigeria,Band 4,,,0.267,0.273,0.277,0.011,0.533,0.546,0.555,0.022,1.066,1.091,1.11,0.044,2.665,2.728,2.775,0.109,5.331,5.456,5.55,0.219
Pakistan,Band 4,,,0.265,0.27,0.273,0.008,0.53,0.539,0.546,0.016,1.061,1.079,1.092,0.031,2.652,2.697,2.73,0.078,5.304,5.393,5.46,0.156
Peru,Band 4,,,0.27,0.281,0.289,0.019,0.54,0.562,0.579,0.038,1.08,1.124,1.157,0.077,2.701,2.811,2.893,0.192,5.402,5.621,5.786,0.384
Philippines,Band 4,,,0.261,0.259,0.258,-0.003,0.521,0.518,0.516,-0.006,1.043,1.036,1.032,-0.011,2.607,2.591,2.579,-0.028,5.213,5.182,5.158,-0.056
