party,un_share,region,sub_region,intermediate_region,is_ldc,is_sids,has_income_data,WB Income Group,is_eu_ms,is_cbd_party,land_area_km2,has_land_area,un_band,un_band_weight,eligible,iusaf_share,tsac_share,sosac_share,final_share,inverted_share,total_allocation,iplc_component,state_component,component_iusaf_amt,component_tsac_amt,component_sosac_amt
Cabo Verde,0.001,Africa,Sub-Saharan Africa,Western Africa,False,True,True,Upper middle income,False,True,4030.0,True,Band 1: <= 0.001%,1.5,True,0.008525149190110827,5.152130745127009e-05,0.02564102564102564,0.008614944089505293,0.008614944089505293,8.614944089505293,4.307472044752647,4.307472044752647,7.8431372549019605,0.0025760653725635046,0.7692307692307692
Côte d’Ivoire,0.024,Africa,Sub-Saharan Africa,Western Africa,False,False,True,Lower middle income,False,True,318000.0,True,Band 3: 0.01% - 0.1%,1.1,True,0.006251776072747941,0.004065453044541908,0.0,0.0059549066391552,0.0059549066391552,5.954906639155201,2.9774533195776005,2.9774533195776005,5.7516339869281055,0.2032726522270954,0.0
Gambia,0.001,Africa,Sub-Saharan Africa,Western Africa,True,False,True,Low income,False,True,10120.0,True,Band 1: <= 0.001%,1.5,True,0.008525149190110827,0.0001293785685873085,0.0,0.007849606183331326,0.007849606183331326,7.849606183331326,3.924803091665663,3.924803091665663,7.8431372549019605,0.006468928429365426,0.0
Ghana,0.025,Africa,Sub-Saharan Africa,Western Africa,False,False,True,Lower middle income,False,True,227533.0,True,Band 3: 0.01% - 0.1%,1.1,True,0.006251776072747941,0.00290888279114388,0.0,0.005897078126485299,0.005897078126485299,5.897078126485298,2.948539063242649,2.948539063242649,5.7516339869281055,0.14544413955719399,0.0
Guinea,0.004,Africa,Sub-Saharan Africa,Western Africa,True,False,True,Lower middle income,False,True,245720.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.0031413934657384826,0.0,0.006954455294201956,0.006954455294201956,6.954455294201956,3.477227647100978,3.477227647100978,6.7973856209150325,0.15706967328692414,0.0
Guinea-Bissau,0.001,Africa,Sub-Saharan Africa,Western Africa,True,True,True,Low income,False,True,28120.0,True,Band 1: <= 0.001%,1.5,True,0.008525149190110827,0.00035949855224062403,0.02564102564102564,0.00863034295174476,0.00863034295174476,8.63034295174476,4.31517147587238,4.31517147587238,7.8431372549019605,0.0179749276120312,0.7692307692307692
Liberia,0.001,Africa,Sub-Saharan Africa,Western Africa,True,False,True,Low income,False,True,96320.0,True,Band 1: <= 0.001%,1.5,True,0.008525149190110827,0.0012313976014159639,0.0,0.007904707134972759,0.007904707134972759,7.904707134972759,3.9523535674863797,3.9523535674863797,7.8431372549019605,0.0615698800707982,0.0
Mali,0.005,Africa,Sub-Saharan Africa,Western Africa,True,False,True,Low income,False,True,1220190.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.01559945015855217,0.0,0.007577358128842641,0.007577358128842641,7.577358128842641,3.7886790644213204,3.7886790644213204,6.7973856209150325,0.7799725079276085,0.0
Mauritania,0.003,Africa,Sub-Saharan Africa,Western Africa,True,False,True,Lower middle income,False,True,1030700.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.013176925952859572,0.0,0.007456231918558012,0.007456231918558012,7.456231918558012,3.728115959279006,3.728115959279006,6.7973856209150325,0.6588462976429786,0.0
Niger,0.004,Africa,Sub-Saharan Africa,Western Africa,True,False,True,Low income,False,True,1266700.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.016194054627425264,0.0,0.007607088352286295,0.007607088352286295,7.607088352286295,3.8035441761431477,3.8035441761431477,6.7973856209150325,0.8097027313712633,0.0
Nigeria,0.15,Africa,Sub-Saharan Africa,Western Africa,False,False,True,Lower middle income,False,True,910770.0,True,Band 4: 0.1% - 1.0%,0.95,True,0.005399261153736857,0.011643687639551677,0.0,0.005549504643415492,0.005549504643415492,5.549504643415492,2.774752321707746,2.774752321707746,4.967320261437909,0.5821843819775838,0.0
Senegal,0.007,Africa,Sub-Saharan Africa,Western Africa,True,False,True,Lower middle income,False,True,192530.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.002461388914042935,0.0,0.0069204550666171795,0.0069204550666171795,6.92045506661718,3.46022753330859,3.46022753330859,6.7973856209150325,0.12306944570214678,0.0
Sierra Leone,0.001,Africa,Sub-Saharan Africa,Western Africa,True,False,True,Low income,False,True,72180.0,True,Band 1: <= 0.001%,1.5,True,0.008525149190110827,0.0009227811344497952,0.0,0.00788927631162445,0.00788927631162445,7.88927631162445,3.944638155812225,3.944638155812225,7.8431372549019605,0.04613905672248976,0.0
Togo,0.002,Africa,Sub-Saharan Africa,Western Africa,True,False,True,Low income,False,True,54390.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.0006953458839391017,0.0,0.006832152915111987,0.006832152915111987,6.832152915111987,3.4160764575559934,3.4160764575559934,6.7973856209150325,0.03476729419695509,0.0
Antigua and Barbuda,0.002,Americas,Latin America and the Caribbean,Caribbean,False,True,True,High income,False,True,440.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,5.625155155969935e-06,0.02564102564102564,0.0075668976479036,0.0075668976479036,7.5668976479036,3.7834488239518,3.7834488239518,6.7973856209150325,0.00028125775779849673,0.7692307692307692
