party,component_iusaf_amt,component_tsac_amt,component_sosac_amt,tsac_iusaf_ratio,sosac_iusaf_ratio,tsac_dominant
Barbados,6.7973856209150325,0.00027486553603034913,0.7692307692307692,4.043694905061867e-05,0.11316568047337278,False
Palau,7.8431372549019605,0.00029404220133479205,0.7692307692307692,3.749038067018599e-05,0.09807692307692308,False
Saint Vincent and the Grenadines,7.8431372549019605,0.00024929664895775844,0.7692307692307692,3.1785322742114204e-05,0.09807692307692308,False
Maldives,6.7973856209150325,0.00019048820869080007,0.7692307692307692,2.8023746086242702e-05,0.11316568047337278,False
Grenada,7.8431372549019605,0.00021733554011702023,0.7692307692307692,2.7710281364920082e-05,0.09807692307692308,False
Saint Kitts and Nevis,7.8431372549019605,0.000166197765971839,0.7692307692307692,2.1190215161409474e-05,0.09807692307692308,False
Niue,7.8431372549019605,0.000166197765971839,0.7692307692307692,2.1190215161409474e-05,0.09807692307692308,False
Cook Islands,7.8431372549019605,0.0001508564337282846,0.7692307692307692,1.9234195300356287e-05,0.09807692307692308,False
Marshall Islands,7.8431372549019605,0.00011505999182665776,0.7692307692307692,1.4670148957898865e-05,0.09807692307692308,False
Tuvalu,7.8431372549019605,1.917666530444296e-05,0.7692307692307692,2.4450248263164777e-06,0.09807692307692308,False
Nauru,7.8431372549019605,1.2784443536295306e-05,0.7692307692307692,1.6300165508776515e-06,0.09807692307692308,False
